id;de;fr;en;it;
E28.textInfo.text.4;Sense;;;;
E28.textInfo.text.5;Balkenmäher;;;;
T18.textInfo.linkText;"Markiere alle Aussagen, die auf Mähen von Gras zutreffen:";;;;
T18.textInfo.text;"Je weniger das Gras gemäht wird, desto besser können sich Pflanzen durch Samen fortpflanzen. Häufiges Mähen stört oder tötet zahlreiche Kleintiere wie Insekten und kleine Säugetiere.";;;;
E29a.text;29a: Es wird jeweils nicht die ganze Grasfläche zum gleichen Zeitpunkt geschnitten. Verschiedene Grasflächen werden zu unterschiedlichen Zeitpunkten geschnitten.;;;;
E29a.options.label.0;Ja;;;;
E29a.options.label.1;Nein;;;;
E29b.text;29b: Wie oft wird ein grosser Teil des Grases zwischen April und Oktober im Durchschnitt pro Monat geschnitten?;;;;
E29b.options.label.0;einmal oder weniger;;;;
E29b.options.label.1;zweimal oder öfter;;;;
E29c.text;29c: Ein Teil der Grasfläche wird jedes Jahr gar nicht geschnitten. Das kann jedes Jahr ein anderer Teil sein. ;;;;
E29c.options.label.0;Ja;;;;
E29c.options.label.1;Nein;;;;
E29d.text;"29d: Bestimme, in welcher landwirtschaftlichen Zone sich die Untersuchungsfläche befindet.";;;;
E29d.options.label.0;Talzone oder Hügelzone.;;;;
E29d.options.label.1;Bergzonen I oder II.;;;;
E29d.options.label.2;Bergzonen III oder IV.;;;;
E29d.textInfo.linkText;Karte zur Bestimmung der landwirtschaftlichen Zone;;;;
E29.textInfo.text.1;Legende;;;;
E29etal.text;"29e: [Tal- und Hügelzone] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 15. Juni geschnitten werden?";;;;
E29etal.options.label.0;Ja;;;;
E29etal.options.label.1;Nein;;;;
E29eberg1.text;"29e: [Bergzonen I und II] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 1. Juli geschnitten werden?";;;;
E29eberg1.options.label.0;Ja;;;;
E29eberg1.options.label.1;Nein;;;;
E29eberg2.text;"29e: [Bergzonen III und IV] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 15. Juli geschnitten werden?";;;;
E29eberg2.options.label.0;Ja;;;;
E29eberg2.options.label.1;Nein;;;;
T19.title;"Schädlingsregulierung (30, 31)";;;;
E30.text;"30: Auf welcher Fläche werden chemische Pestizide  zur Schädlingsbekämpfung eingesetzt?<br>Stelle mit dem Regler ein, wie gross der Anteil dieser Fläche an der gesamten unbebauten Untersuchungsfläche ist:";;;;
E30.textInfo.text.1;"Chemische Pestizide sind Mittel, die oft nicht nur so genannte Schädlinge töten, sondern oft auch zahlreiche harmlose oder sogar nützliche Lebewesen. Oft bleiben Pestizide lange im Boden. Auch gelangen Pestizide mit Regenwasser in Gewässer.";;;;
E31.text;"31: Auf welcher Fläche werden ökologische Mittel zur Schädlingsbekämpfung eingesetzt?<br>Wenn solche ökologischen Mittel zu wenig wirken, dann werden auch chemische Pestizide eingesetzt, die aber Nützlinge schonen.<br>Stelle mit dem Regler ein, wie gross der Anteil dieser Fläche an der gesamten unbebauten Untersuchungsfläche ist:";;;;
E31.textInfo.text.1;"Ökologische Mittel bestehen aus Stoffen, die ähnlich so auch in der Natur vorkommen. Andere ökologische Mittel bekämpfen Schädlinge durch natürliche Gegenspieler. Beispielsweise gibt es Schlupfwespen, die gefrässige Raupen abtöten.";;;;
T20.title;Unkrautregulierung (32);;;;
E32a.text;32a: Werden Unkräuter oder unerwünschte Pflanzen überhaupt regelmässig bekämpft?;;;;
E32a.options.label.0;Ja;;;;
E32a.options.label.1;Nein;;;;
E32a.textInfo.text.1;"Unerwünschte Pflanzen lassen sich ganz unterschiedlich bekämpfen: Chemische Herbizide schaden oft auch erwünschten Pflanzen. Solche Herbizide bleiben manchmal lange im Boden. Auch gelangen Herbizide mit Regenwasser in Gewässer. Abflammen und Hitze erzeugende Geräte schaden oft auch Lebewesen in den oberen Bodenschichten.";;;;
E32a.textInfo.text.2;Abflammen;;;;
E32a.textInfo.text.3;Hitze erzeugende Geräte;;;;
E32b.text;32b: Wie werden Unkräuter oder unerwünschte Pflanzen zur Hauptsache bekämpft?;;;;
E32b.options.label.0;"Mehr als 75 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";;;;
E32b.options.label.1;"25 - 75 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";;;;
E32b.options.label.2;"Weniger als 25 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";;;;
T21.title;"Düngen (33, 34)";;;;
E33duengen.text;"33: Ist die gesamte Grasfläche (Wiesen, Rasen inklusive Sportrasen) grösser als die Fläche für zwei Autoparkplätze?";;;;
E33duengen.options.label.0;Ja;;;;
E33duengen.options.label.1;Nein;;;;
E33gras.text;"33gras: Werden Grasflächen (Wiesen, Rasen inklusive Sportrasen) gedüngt?";;;;
E33gras.options.label.0;Ja;;;;
E33gras.options.label.1;Nein;;;;
E33gras.textInfo.text.1;In Böden mit wenig Nährstoffen ist die Artenvielfalt erstaunlicher Weise viel höher als in nährstoffreichen Böden. Düngemittel sind nichts Anderes als Nährstoffe für Pflanzen. Deshalb fördern Düngemittel oft das Wachstum von nur einigen wenigen Pflanzenarten.;;;;
E33a.text;"33a: Wie werden Grasflächen (Wiesen, Rasen inklusive Sportrasen) gedüngt?";;;;
E33a.options.label.0;Mehr als die Hälfte des Bodens wird ohne Analyse des Bodens gedüngt.;;;;
E33a.options.label.1;Weniger als die Hälfte des Bodens wird ohne Analyse des Bodens gedüngt.;;;;
E34.text;"34: Mit welchen Mitteln werden Grasflächen (Wiesen, Rasen inklusive Sportrasen) gedüngt?";;;;
E34.options.label.0;Mehr als ein Drittel der Düngemittel sind mineralischer Dünger oder Torf.;;;;
E34.options.label.1;"Mehr als die Hälfte der Düngemittel sind organischer Dünger wie Jauche, Mist oder Mulch oder Bio-Knospenprodukte.";;;;
E34.options.label.2;Mehr als die Hälfte der Düngemittel ist eigener Kompost.;;;;
E34.textInfo.text.1;"Mineralische Düngemittel helfen zwar den Pflanzen, vernachlässigen aber Bodenlebewesen. Auch kann Mineraldünger zu einem chemischen Ungleichgewicht von Nährstoffen im Boden führen. Überschüssiger Mineraldünger wird zudem mit dem Regenwasser in Gewässer geschwemmt. In Gewässer kann Mineraldünger zu übermässigem Algenwachstum führen.";;;;
T22.title;Laub (35);;;;
E35.text;35: Was passiert im Herbst mit dem Laub?;;;;
E35.options.label.0;Sämtliches Laub wird eingesammelt und entsorgt.;;;;
E35.options.label.1;Vereinzelt wird Laub bewusst belassen.;;;;
E35.options.label.2;Es werden bewusst zahlreiche Laubhaufen erstellt.;;;;
E35.textInfo.text.1;"Laub ist Nahrung für zahlreiche kleine Krabbeltiere aber auch für Pflanzen. Laub spielt deshalb eine wichtige Rolle im Kreislauf der Natur. Laubhaufen bieten zudem vielen Tieren Lebensraum, Versteck und Schutz vor Kälte. Tiere wie Igel, Blindschleichen, Frösche, kleine Mausarten usw. überwintern gerne in Laubhaufen.";;;;
E35.textInfo.text.2;Laubhaufen;;;;
T23.title;Alte Samenstände (36);;;;
E36.text;"36: Was passiert im Herbst mit alten Samenständen von Gras, Blumen und Sträucher?";;;;
E36.options.label.0;Alle alten Samenstände werden eingesammelt und entsorgt.;;;;
E36.options.label.1;Vereinzelt werden alte Samenstände bewusst belassen.;;;;
E36.options.label.2;Die meisten Samenstände werden bewusst belassen.;;;;
E36.textInfo.text.1;Alte Samenstände können Vögel als Nahrung dienen. Weiter nutzen viele nützlichen Insekten alte Pflanzenstengel zum Überwintern. Viele Insekten legen auch ihre Eier in alte Pflanzenstengel ab.;;;;
E36.textInfo.text.2;alte Samenstände;;;;
P04.title;Bauliche Massnahmen;;;;
T24.title;"Begrünung von Dach oder Fassaden (37, 38)";;;;
E37.text;37: Gibt es auf Flachdächern eine Begrünung?;;;;
E37.options.label.0;Keine oder kaum Dachbegrünung.;;;;
E37.options.label.1;"Ungefähr die Hälfte der Flachdächer ist begrünt, enthält aber keine Sandflächen oder Totholz.";;;;
E37.options.label.2;Ungefähr die Hälfte der Flachdächer ist begrünt und enthält auch Sandflächen und Totholz.;;;;
E37.options.label.3;"Mehr als die Hälfte der Flachdächer ist begrünt, enthält aber keine Sandflächen oder Totholz.";;;;
E37.options.label.4;Mehr als die Hälfte der Flachdächer ist begrünt und enthält auch Sandflächen oder Totholz.;;;;
E37.textInfo.text.1;Flachdächer können ebenfalls eine Vieflat kleiner Lebensräume bieten: Niedrige Kräuter und Blumen können dort wachsen. Zahlreiche Krabbeltiere können in Kies- und Sandflächen oder kleinen Haufen von Totholz leben.;;;;
E37.textInfo.text.2;Begrüntes Flachdach mit Totholz;;;;
E38.text;38: Gibt es Fassaden mit einer Begrünung?;;;;
E38.options.label.0;Keine oder nur vereinzelt Fassadenbegrünung.";;;;
E38.options.label.1;Fassaden von einer Fläche von insgesamt mindestens zwei Autoparkplätzen ist begrünt.;;;;
E38.textInfo.text.1;Begrünte Fassaden bieten Lebensraum für Krabbeltiere und Vögel. Begrünte Fassaden schützen auch vor Kälte und Hitze.;;;;
T25.title;Kräuter- oder Gemüsegarten (39);;;;
E39.text;Gibt es auf der Untersuchungsfläche einen biologisch bearbeiteten Kräuter- oder Gemüsegarten?;;;;
E39.options.label.0;Nein;;;;
E39.options.label.1;Ja;;;;
E39.textInfo.text.1;"Ein Kräuter- oder Gemüsegarten sorgt nur dann für mehr Artenvielfalt, wenn er biologisch bearbeitet wird. Bei Einsatz von chemischen Pestiziden, Herbiziden und Mineraldünger schadet dies der Artenvielfalt hingegen.";;;;
T26.title;"Fallen für Tiere (40a, 40b, 41a, 41b, 42)";;;;
E40a.text;40a: Gibt es an den Gebäuden grosse Glasflächen?;;;;
E40a.options.label.0;Nein;;;;
E40a.options.label.1;Ja;;;;
E40a.textInfo.text.1;"Grosse Glasflächen können tödlich für Vögel sein. Aufgeklebte Umrisse von Vögel schützen leider nur wenig.<br> Unwirksame Greifvogel-Umrisse";;;;
E40a.textInfo.text.2;Wirksamer hingegen sind Streifenmuster:;;;;
E40a.textInfo.text.3;Glasfläche mit aufgeklebten Vogelschutzstreifen;;;;
E40b.text;40b: Wie werden die Vögel vor diesen Glasscheiben geschützt?;;;;
E40b.options.label.0;Glasflächen ohne Vogelschutz.;;;;
E40b.options.label.1;Glasflächen mit aufgeklebten Umrissen von Vögeln.;;;;
E40b.options.label.2;Glasflächen mit aufgeklebten Vogelschutzstreifen. (Birdstripes);;;;
E40b.textInfo.text.1;"Grosse Glasflächen können tödlich für Vögel sein. Aufgeklebte Umrisse von Vögel schützen leider nur wenig.<br> Unwirksame Greifvogel-Umrisse<br>";;;;
E40b.textInfo.text.2;Wirksamer hingegen sind Streifenmuster:;;;;
E40b.textInfo.text.3;Glasfläche mit aufgeklebten Vogelschutzstreifen;;;;
E41a.text;"41a: Gibt es auf dem Untersuchungsgebiet Lichtquellen, die jeden Tag bis spät in die Nacht leuchten?";;;;
E41a.options.label.0;Nein;;;;
E41a.options.label.1;Ja;;;;
E41a.textInfo.text.1;Zahlreiche Lebewesen sind aktiv in der Nacht. Viele von diesen Lebewesen kreisen um künstliche Lichtquellen und sterben schliesslich. Lichtquellen sollten deshalb nicht nach oben abstrahlen:;;;;
E41a.textInfo.text.2;Schädliche Ausrichtung von Lichtquellen;;;;
E41a.textInfo.text.3;"Auch ist gelbliches bis warm-weisses Licht von LED-Lampen weniger schädlich, als bläuliches Licht.";;;;
E41a.textInfo.text.4;Schädlichkeit verschiedener Lichtquellen;;;;
E41b.text;41b: Wie leuchten diesen Lichtquellen?;;;;
E41b.options.label.0;"Einige Lichtquellen strahlen auch nach oben ab, beispielsweise zur Beleuchtung des Gebäudes.";;;;
E41b.options.label.1;"Gelbliche Lichtquellen, die fast nur nach unten strahlen, beispielsweise Wegbeleuchtung.";;;;
E41b.textInfo.text.1;Zahlreiche Lebewesen sind aktiv in der Nacht. Viele von diesen Lebewesen kreisen um künstliche Lichtquellen und sterben schliesslich. Lichtquellen sollten deshalb nicht nach oben abstrahlen:;;;;
E41b.textInfo.text.2;Schädliche Ausrichtung von Lichtquellen;;;;
E41b.textInfo.text.3;"Auch ist gelbliches bis warm-weisses Licht von LED-Lampen weniger schädlich, als bläuliches Licht.";;;;
E41b.textInfo.text.4;Schädlichkeit verschiedener Lichtquellen;;;;
E42.text;"42: Gibt es auf dem Untersuchungsgebiet Wasserschächte oder Lichtschächte, in denen Tiere gefangen bleiben?";;;;
E42.options.label.0;Nein oder nur sehr wenige.;;;;
E42.options.label.1;Ja;;;;
E42.textInfo.text.1;Wasserschächte und Lichtschächte können Fallen für Amphibien und andere Kleintiere sein. Denn diese Tiere kommen kaum selbständig wieder aus solchen Schächten heraus.;;;;
E42.textInfo.text.2;"Abdeckungen mit feinmaschigem Gitter verhindern, dass Kleintiere in Lichtschächte fallen.";;;;
E42.textInfo.text.3;"Ausstiegshilfen ermöglichen runtergefallenen Tieren, sich wieder aus dem Schacht zu befreien.";;;;
E42.finaPage;Ende;;;;
P05.title;Projekt Infos;;;;
P05.project.text.1;Projekt ID;;;;
P05.project.text.2;;;;;
P05.school.text;Schule;;;;
P05.gebiete.nameDisplay;Untersuchungsgebiet;;;;
P05.gebiete.text;"Zeichne die Untersuchungsfläche ein:<br> <br> 1. Finde deinen Standort mit dem entsprechendem Button in der Karte. Unter Umständen muss dazu in der Systemeinstellung der Ortungsdienst für den verwendeten Browser aktiviert werden. <br>2. Klicke auf ""Feature hinzufügen"" um in den Zeichnungs-Modus zu wechseln. <br>3. Wechsle zur Karte im Vollbildmodus. <br>4. Untersuchungsfläche einzeichnen. Beim letzten eingezeichneten Punkt Doppelklick, um Fläche abzuschliessen. <br>5. Esc-Taste drücken, um zur Normalansicht zurückzukehren. <br>6. Klicke auf ""Hinzufügen"" um eingezeichnete Fläche hinzuzufügen. <br>";;;;
P05.finalPage;Ende;;;;
P06.page;Projekt Infos;;;;
P06.title.1;Erfassung;;;;
P06.title.2;Projekt bearbeiten;;;;
P06.nameDisplay;Untersuchungsgebiet;;;;
P06.text;"Bearbeite dein Projekt:<br> 1. Klicke auf ""Feature bearbeiten"". <br>2. Klicke auf die Projektfläche. <br>3. Ändere die Form der Projektfläche oder die Attribute (ID, Ort, Schule). <br>4. Klicke auf Aktualisieren. <br>5. Falls du dein Projekt löschen willst, klicke auf Löschen.";;;;
P06.finalPage;Ende;;;;
P00.1.addPage;Allgemeine Infos;;;;
P00.1.text;Was ist der Name des Standorts?;;;;
