E19.text;19: Gibt es auf der Untersuchungsfläche Trockenmauern oder Steinhaufen?;19 : y a-t-il des murs de pierres sèches ou des tas de pierres sur le site d'étude?;19: Are there dry stone walls or piles of rocks on the study site?;19: Nel sito di studio sono presenti muretti a secco o cumuli di rocce?;
E19.textInfo.text.1;"Trockenmauern und Steinhaufen bieten ein sicheres Versteck für Frösche, Kröten, Eidechsen und Schlangen aber auch für Wiesel, Schläfer und Mausarten. Viele dieser Tiere überwitntern auch in Trockenmauern oder Steinhaufen.";"Les murs de pierres sèches et les tas de pierres offrent une cachette sûre pour les grenouilles, les crapauds, les lézards et les serpents, mais aussi pour les belettes, les loirs, parfois les mulots ou les musaraignes. Beaucoup de ces animaux hibernent également dans des murs de pierres sèches ou des tas de pierres";"Dry stone walls and piles of rock provide a safe hiding place for frogs, toads, lizards and snakes, but also for weasels, dormice and mice. Many of these animals also hibernate in dry stone walls or piles of rocks.";"I muretti a secco e i cumuli di rocce costituiscono un nascondiglio sicuro per rane, rospi, lucertole e serpenti, ma anche per donnole,  quercini e i topolini. Molti di questi animali vanno anche in letargo nei muretti a secco o nei cumuli di roccia";
E19.textInfo.text.2;Steinhaufen;Tas de pierres;Piles of rocks;Cumuli di rocce;
E19.textInfo.text.3;Trockenmauer;Mur de pierres sèches;Dry stone wall;Muro a secco;
E20.options.label.0;"Keine Asthaufen, abgestorbene Bäume oder Totholz vorhanden.";"Aucun tas de branches, d'arbres morts ou de bois mort n'est présent.";"No piles of branches, dead trees or deadwood present.";"Non sono presenti cumuli di rami, alberi morti o legno morto.";
E20.options.label.1;"1 Asthaufen, abgestorbener Baum oder Totholzelement vorhanden.";"1 tas de branches, arbre mort ou bois mort présent.";"1 pile of branches, dead tree or deadwood element present.";"È presente 1 mucchio di rami, alberi morti o elementi di legno morto presenti.";
E20.options.label.2;"2 Asthaufen, abgestorbene Bäume oder Totholzelemente vorhanden.";"2 tas de branches, arbres morts ou  bois mort présents.";"2 pile of branches, dead tree or deadwood element present.";"Sono presenti 2 mucchi di rami, albero morto o elemento di legno morto.";
E20.options.label.3;"Mehr als 2 Asthaufen, abgestorbene Bäume oder Totholzelemente vorhanden.";"Plus de 2 tas de branches, d'arbres morts ou bois mort présents.";"More than 2 pile of branches, dead tree or deadwood element present.";"Sono presenti più di 2 mucchi di rami, albero morto o elemento di legno morto";
E20.text;"20: Gibt es auf der Untersuchungsfläche Asthaufen, abgestorbene Bäume oder Totholz?";"20 : y a-t-il des tas de branches, des arbres morts ou du bois mort sur le site d'étude?";"20: Are there any piles of branches, dead trees or deadwood on the study site?";"20: Ci sono mucchi di rami, alberi morti o legno morto nell'area oggetto di studio?";
E20.textInfo.text.1;Asthaufen;Tas de branches;Pile of branches;Mucchio di rami;
E20.textInfo.text.2;"Asthaufen bieten ein Versteck für Igel, Mäuse aber auch für Blindschleichen sowie Kröten, Frösche und Molche.";"Les tas de branches offrent une cachette aux hérissons, aux micromammifères mais aussi aux orvets ainsi qu'aux crapauds, grenouilles et tritons";"Piles of branches provide a hiding place for hedgehogs, mice but also for slow worms as well as toads, frogs and newts.";"I mucchi di rami sono un nascondiglio per ricci, topi ma anche per orbettini, rospi, rane e tritoni.";
E20.textInfo.text.3;Totholz;Bois mort;Deadwood;Legno morto;
E20.textInfo.text.4;"Totholz und abgestorbene Bäume sind der Lebensraum für zahlreiche Insekten, Pilze und Moose.";"Le bois mort et les arbres morts sont l'habitat de nombreux insectes, champignons et mousses";"Deadwood and dead trees are the habitat for numerous insects, fungi and mosses.";"Il legno morto e gli alberi morti sono l'habitat di numerosi insetti, funghi e muschi.";
E21.options.label.0;Keine künstliche Nisthilfen für Insekten vorhanden.;Aucun nichoir artificiel pour insectes n'est disponible;No artificial nesting boxes for insects are available.;Non sono disponibili casette artificiali per la nidificazione degli insetti;
E21.options.label.1;1 - 3 künstliche Nisthilfen für Insekten vorhanden.;1 - 3 nichoirs artificiels pour insectes sont disponibles;1 - 3 artificial nesting boxes for insects are available.;Sono disponibili da 1 a 3 casette artificiali per la nidificazione degli insetti;
E21.options.label.2;Mehr als 3 künstliche Nisthilfen für Insekten vorhanden.;Plus de 3 nichoirs artificiels pour insectes sont disponibles;More than 3 artificial nesting boxes for insects are available.;Sono disponibili più di 3  casette artificiali per la nidificazione degli insetti;
E21.text;21: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für Insekten?;21 : y a-t-il des nichoirs artificiels pour insectes sur le site d'étude?;21: Are there artificial nesting boxes for insects on the study site?;21: Nell'area oggetto di studio sono presenti casette artificiali per la nidificazione degli insetti?;
E21.textInfo.text.1;Insekten spielen eine ganz wichtige Rolle in Nahrungsnetzen:<br> Insekten sind wichtig für die Bestäubung von vielen Pflanzen. Insekten sind auch Nahrung für viele Tiere.;Les insectes jouent un rôle très important dans les réseaux alimentaires:<br> Les insectes sont importants pour la pollinisation de nombreuses plantes. Les insectes sont également la nourriture de nombreux animaux.;Insects play a very important role in food webs:<br>. Insects are important for the pollination of many plants. Insects are also food for many animals.;Gli insetti svolgono un ruolo molto importante nelle reti alimentari:<br> Essi sono importanti per l'impollinazione di molte piante. Gli insetti sono anche cibo per molti animali.;
E21.textInfo.text.2;Insektenhotel;Hôtel pour insectes;Insect hotel;Albergo degli insetti;
E21.textInfo.text.3;Lebensturm;Tour de vie;Life tower;Torre della vita;
E22.options.label.0;Keine künstliche Nisthilfen für Vögel vorhanden.;Il n'y a pas de nichoirs artificiels pour les oiseaux;No artificial nesting places for birds are available.;Non sono disponibili nidi artificiali per gli uccelli;
E22.options.label.1;1 - 3 künstliche Nisthilfen für Vögel vorhanden.;1 - 3 nichoirs artificiels pour oiseaux sont disponibles;1 - 3 artificial nesting places for birds are available.;Sono disponibili da 1 a 3 nidi artificiali per gli uccelli;
E22.options.label.2;Mehr als 3 künstliche Nisthilfen für Vögel vorhanden.;Plus de 3 nichoirs artificiels pour oiseaux sont disponibles;More than 3 artificial nesting places for birds are available.;Sono disponibili più di 3 nidi artificiali per gli uccelli.;
E22.text;22: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für Vögel?;22 : y a-t-il des sites de nidification artificiels pour les oiseaux sur le site d'étude?;22: Are there artificial nesting places for birds on the study site?;22: Nell'area oggetto di studio ci sono nidi artficiali per gli uccelli?;
E22.textInfo.text.1;"Viele Vögel finden keine guten Möglichkeiten, um ihr Nest zu bauen. Nistkästen können hier Abhilfe schaffen:";De nombreux oiseaux ne trouvent pas de bonnes possibilités pour construire leur nid. Les nichoirs peuvent y remédier:;Many birds do not find any good places to build their nests. Nesting boxes can help here:;Molti uccelli non trovano posti adatti per costruire i loro nidi. I nidi artificiali possono essere d'aiuto in questo caso:;
E22.textInfo.text.2;Nistkasten für Höhlenbrüter;Nichoir pour oiseaux cavernicoles;Nesting box for hole-nesting birds;Nido artificiale per uccelli che nidificano in buche;
E22.textInfo.text.3;Nisthilfe für Mehlschwalben;Nichoir pour hirondelles de fenêtre;Nesting box for House Martins;Nidi artificiali per martin pescatore;
E23.options.label.0;Keine künstliche Nisthilfen für kleine Säugetiere vorhanden.;Aucun nichoir artificiel pour petits mammifères n'est disponible;No artificial nesting boxes for small mammals are available.;Non sono disponibili posti per la nidificazione dei piccoli mammiferi;
E23.options.label.1;1 - 3 künstliche Nisthilfen für kleine Säugetiere vorhanden.;1 - 3 nichoirs artificiels pour petits mammifères sont disponibles;1 - 3 artificial nesting boxes for small mammals are available.;Sono disponibili da 1 a 3 posti per la nidificazione dei piccoli mammiferi;
E23.options.label.2;Mehr als 3 künstliche Nisthilfen für kleine Säugetiere vorhanden.;Plus de 3 nichoirs artificiels pour petits mammifères sont disponibles;More than 3 artificial nesting boxes for small mammals are available.;Sono disponibili più di 3 posti per la nidificazione dei piccoli mammiferi;
E23.text;23: Gibt es auf der Untersuchungsfläche künstliche Nisthilfen für kleine Säugetiere?;23 : y a-t-il des nichoirs artificiels pour petits mammifères sur le site d'étude?;23: Are there artificial nesting boxes for small mammals on the study site?;23: Nell'area oggetto di studio ci sono posti per la nidificazione dei piccoli mammiferi?;
E23.textInfo.text.1;"Kleine Säugetiere wie Igel, Fledermäuse, Siebenschläfer und Mausarten brauchen Verstecke. Auch brauchen diese Tiere Plätze, wo sie ihre Jungen zur Welt bringen können.";"Les petits mammifères comme les hérissons, les chauves-souris, les loirs et les micromammifères ont besoin de cachettes. Ces animaux ont également besoin d'endroits où ils peuvent mettre au monde leurs petits";"Small mammals such as hedgehogs, bats, dormice and mouse species need hiding places. These animals also need places where they can give birth to their young.";"I piccoli mammiferi come ricci, pipistrelli, ghiri e topolini hanno bisogno di nascondigli. Questi animali hanno anche bisogno di luoghi in cui dare alla luce i loro piccoli.";
E23.textInfo.text.2;Fledermauskasten;Gîte à chauves-souris;Bat Boxes;Cassetta per pipistrelli;
E23.textInfo.text.3;Schlafplatz für Igel;Dortoir pour hérissons;Sleeping place for hedgehogs;Dormitorio per i ricci;
E23.textInfo.text.4;Versteck für Siebenschläfer;Cachette pour loirs;Hiding place for dormice;Nascondiglio per ghiri;
E24.options.label.0;Keine Feuchtflächen vorhanden.;Aucune zone humide n'est disponible;No wet areas are available.;Non ci sono zone umide.;
E24.options.label.1;Feuchtflächen insgesamt etwa so gross wie ein Autoparkplatz.;Les zones humides ont au total la taille d'un parking automobile;Wetland areas in total are about the size of a car parking space.;Le zone umide sono complessivamente estese quanto un posto auto.;
E24.options.label.2;Feuchtflächen insgesamt grösser als ein Autoparkplatz.;Les zones humides sont au total plus grandes qu'une place de parc pour voitures;Wetland areas are larger in total than a car parking space.;Le zone umide sono complessivamente più estese di un posto auto.;
E24.text;24: Gibt es Feuchtflächen auf der Untersuchungsfläche?;24 : y a-t-il des zones humides sur le site d'étude?;24: Are there any wetland areas in the study area?;24: Nell'area oggetto di studio sono presenti delle zone umide ?;
E24.textInfo.text.1;Feuchte Flächen bieten spezialisierten Tieren und Pflanzen ein Zuhause:;Les zones humides abritent des animaux et des plantes spécifiques:;Wet areas provide a home for species-specific animals and plants:;Le zone umide ospitano animali e piante di determinate specie:;
E24.textInfo.text.2;Sumpfstreifen;Bandes marécageuses;Swamp strips;Zona paludosa;
E24.textInfo.text.3;Moorwiese;Prairie marécageuse;Moorland meadow;Zona torbosa;
E25.options.label.0;Keine stehenden Gewässer vorhanden.;Il n'y a pas d'eau stagnante;No stagnant water is available.;Non sono presenti zone con acqua stagnante;
E25.options.label.1;Fläche mit stehenden Gewässern insgesamt etwa so gross wie 1 Autoparkplatz.;La surface totale avec des eaux stagnantes est à peu près de la taille d'une place de parc pour voitures;The total area with stagnant waters is about the size of 1 car parking space.;L'area complessiva con acqua stagnante ha le dimensioni di un posto auto.;
E25.options.label.2;Fläche mit stehenden Gewässern insgesamt etwa so gross wie 2 Autoparkplätze.;La surface totale des eaux stagnantes est à peu près égale à 2 places de parc pour voitures;The total area with stagnant water is about the size of 2 car parking spaces.;L'area complessiva con acqua stagnante ha le dimensioni di 2 posti auto.;
E25.options.label.3;Fläche mit stehenden Gewässern insgesamt grösser als 2 Autoparkplätze.;La surface totale des eaux stagnantes est supérieure à 2 places de parc pour voitures;The total area of stagnant water is greater than 2 car parking spaces.;L'area complessiva con acqua stagnante è maggiore di 2 posti auto.;
E25.text;25: Gibt es stehende Gewässer auf der Untersuchungsfläche?;25 : y a-t-il des eaux stagnantes sur le site d'étude?;25: Is there stagnant water in the study area?;25: C'è acqua stagnante nell'area oggetto di studio?;
E25.textInfo.text.1;Zahlreiche Lebewesen sind auf das Leben in Wasser spezialisiert. Bestimmte Insekten und Amphibien brauchen beispielsweise zur Fortpflanzung stehende Gewässer.;De nombreux êtres vivants sont spécialisés dans la vie aquatique. Certains insectes et amphibiens ont par exemple besoin d'eaux stagnantes pour se reproduire.;"Numerous creatures are specialists in living in the water. Certain insects and amphibians, for example, need stagnant water to reproduce.";"Numerosi organismi si sono specializzati a vivere in acqua. Alcuni insetti e anfibi, ad esempio, hanno bisogno di acqua stagnante per riprodursi.";
E25.textInfo.text.2;Tümpel;Mares;Pond;Stagno;
E26.options.label.0;Keine Fliessgewässer oder nur Fliessgewässer kürzer als 3 Meter vorhanden.;Il n'y a pas de cours d'eau ou seulement des cours d'eau de moins de 3 mètres;No flowing water or only a stream of shorter than 3 metres are available.;Non sono presenti corsi d'acqua oppure vi è solo un ruscello di lunghezza inferiore a 3 metri;
E26.options.label.1;Ein oder mehrere Fliessgewässer von insgesamt mehr als 3 Meter Länge vorhanden.;Un ou plusieurs cours d'eau d'une longueur totale supérieure à 3 mètres sont disponibles;One or more streams of more than 3 metres in total length are available.;Sono disponibili uno o più corsi d'acqua di lunghezza totale superiore a 3 metri;
E26.text;26: Gibt es Fliessgewässer auf der Untersuchungsfläche?;26 : y a-t-il des cours d'eau sur le site d'étude?;26: Is there flowing water in the study area?;26: Nell'area oggetto di studio sono presenti dei corsi d'acqua?;
E26.textInfo.text.1;Zahlreiche fliegende Insekten verbringen einen Teil ihrer Entwicklung in fliessenden Gewässer.;"Pour de nombreux insectes volants, une partie du développement se déroule dans les eaux courantes";Many flying insects spend part of their development in flowing water.;Molti insetti alati trascorrono parte del loro tempo di sviluppo nei corsi d'acqua;
E26.textInfo.text.2;kleines Bächlein;petit ruisseau;small streamlet;piccolo ruscello;
E27.options.label.0;Die Untersuchungsfläche ist zu ungefähr drei Viertel oder mehr umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;Environ les trois quarts ou plus de la zone d'étude sont entourés d'agriculture intensive ou de zones bâties;About three-quarters or more of the study area is surrounded by intensive agriculture or built-up areas.;Circa tre quarti o più dell'area di studio è circondata da agricoltura intensiva o aree edificate.;
E27.options.label.1;Die Untersuchungsfläche ist zu einem Viertel bis zu drei Viertel umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;Un quart à trois quarts de la zone d'étude est entouré d'agriculture intensive ou de zones bâties;One-quarter to three-quarters of the study area is surrounded by intensive agriculture or built-up areas.;Approssimativamente da un quarto a tre quarti dell'area oggetto di studio è circondata da agricoltura intensiva o aree edificate;
E27.options.label.2;Die Untersuchungsfläche ist zu weniger als einem Viertel umgeben von intensiver Landwirtschaft oder überbautem Gebiet.;Moins d'un quart de la zone d'étude est entouré d'agriculture intensive ou de zones bâties;Less than a quarter of the study area is surrounded by intensive agriculture or built-up areas.;Meno di un quarto dell'area oggetto di studio è circondato da agricoltura intensiva o aree edificate;
E27.text;27: Ist die Untersuchungsfläche umgeben von intensiver Landwirtschaft oder überbautem Gebiet?;27 : la zone d'étude est-elle entourée d'une agriculture intensive ou d'une zone construite?;27: Is the study area surrounded by intensive agriculture or built-up area?;27: L'area oggetto di studio è circondata da agricoltura intensiva o da aree edificate?;
E27.textInfo.text.1;"Chemische Mittel der intensiven Landwirtschaft töten nicht nur so genannte Schädlinge, sondern auch sehr viele andere Lebewesen. Düngemittel sorgen zudem dafür, dass nur einige wenige Pflanzen sehr stark wachsen. Alle diese Mittel gelangen über die Luft und das Wasser auch in die Umgebung. Zahlreiche Lebewesen können in überbauten Gebieten nicht überleben.";"Les produits chimiques de l'agriculture intensive ne font pas que tuer les soi-disant nuisibles, mais aussi de très nombreux autres êtres vivants. Les engrais favorisent la croissance de quelques espèces. Tous ces produits se répandent dans l'air et dans l'eau. De nombreux organismes vivants ne peuvent pas survivre dans les zones urbaines.";"Chemical agents of intensive agriculture kill not only so-called pests, but also many other living organisms. Fertilisers also ensure that only a few crops grow very strongly. All these substances enter the environment through the air and water. Many living organisms cannot survive in built-up areas.;Gli agenti chimici dell'agricoltura intensiva non uccidono solo i cosiddetti parassiti, ma anche molti altri organismi viventi. I fertilizzanti, inoltre, fanno sì che solo alcune piante crescano in maniera molto intensa. Tutti questi agenti entrano nell'ambiente anche attraverso l'aria e l'acqua. Molti organismi viventi non possono sopravvivere in aree troppo edificate.""";"Gli agenti chimici dell'agricoltura intensiva non uccidono solo i cosiddetti parassiti, ma anche molti altri organismi viventi. I fertilizzanti, inoltre, fanno sì che solo alcune piante crescano in maniera molto intensa. Tutte queste sostanze entrano nell'ambiente anche attraverso l'aria e l'acqua. Molti organismi viventi non possono sopravvivere in aree troppo edificate.";
E28.text;"28: Mit welchen Geräten werden Grasflächen (ohne Sportrasen) geschnitten? Stelle mit dem Regler ein, auf welchem Anteil der Grasflächen mit mit Sense oder Balkenmäher gemäht wird:";28 : avec quels appareils les pelouses (sans gazon de sport) sont-elles coupées ? Réglez le pourcentage de pelouses tondues à la faux (motofaucheuse ?) ou à la tondeuse à l’aide du curseur:;28: What equipment is used to cut grass areas (without sports turf)? Use the slider to set the percentage of grass areas that are mowed with a scythe or bar mower:;28: Quali attrezzature vengono utilizzate per tagliare l'erba nei prati (esclusi i campi sportivi)? Utilizzi il cursore per impostare la percentuale di superfici erbose che vengono tagliate con una falce o una barra falciante:;
E28.textInfo.text.1;"Rasentraktor, Ride-on Mäher";Tracteur à gazon;"Lawn tractor, ride-on mower";"Trattorino, tosaerba a scoppio";
E28.textInfo.text.2;Rasenmäher;Tondeuse à gazon;Lawn Mower;Tosaerba;
E28.textInfo.text.3;"Fadenmäher, Motorsense";"Tondeuse à fil, débroussailleuse";"String mower, power scythe";"Falciatrice a filo, falce a motore";
E28.textInfo.text.4;Sense;Faux;Sense;Falce;
E28.textInfo.text.5;Balkenmäher;Motofaucheuse;Bar mower;Falciatrice a barra;
E29.textInfo.text.1;Legende;Légende;legend;Legenda;
E29a.options.label.0;Ja;Oui;Yes;Sì;
E29a.options.label.1;Nein;Non;No;No;
E29a.text;29a: Verschiedene Grasflächen werden zu unterschiedlichen Zeitpunkten geschnitten.;29a : différentes surfaces d'herbe sont coupées à différents moments.;29a: Different grass areas are cut at different times.;29a: Le diverse aree erbose vengono tagliate in tempi diversi.;
E29b.options.label.0;einmal oder weniger;Une fois ou moins;Once or less;Una volta o meno;
E29b.options.label.1;zweimal oder öfter;deux fois ou plus;twice or more;Due volte o più;
E29b.text;29b: Wie oft wird ein grosser Teil des Grases zwischen April und Oktober im Durchschnitt pro Monat geschnitten?;29b : combien de fois une grande partie de l'herbe est coupée en moyenne par mois entre avril et octobre?;"29b: On average, how often is a large portion of the grass cut per month between April and October?";"29b: In media, quante volte al mese viene tagliata una grande area erbosa nel periodo tra aprile e ottobre?";
E29c.options.label.0;Ja;Oui;Yes;Sì;
E29c.options.label.1;Nein;Non;No;No;
E29c.text;29c: Ein Teil der Grasfläche wird jedes Jahr gar nicht geschnitten. Das kann jedes Jahr ein anderer Teil sein.;29c : une partie de l'herbe n'est pas coupée du tout chaque année. Il peut s'agir d'une partie différente chaque année.;29c: Some portion of the grass area is not cut at all each year. This may be a different part each year.;29c: Una parte dell'area erbosa non viene tagliata affatto durante l'anno. Puà² trattarsi di una parte diversa ogni anno.;
E29d.options.label.0;Talzone oder Hügelzone.;Zone de plaine ou de collines.;Valley zone or hill zone.;Zona di valle o zona di collina.;
E29d.options.label.1;Bergzonen I oder II.;Zone de montagne I ou II.;Mountain zone I or II.;Zona montana I o II.;
E29d.options.label.2;Bergzonen III oder IV.;Zones de montagne III ou IV.;Mountain zones III or IV.;Zona montana III o IV.;
E29d.text;"29d: Bestimme, in welcher landwirtschaftlichen Zone sich die Untersuchungsfläche befindet.";29d : déterminez la zone paysagère dans laquelle se trouve le site d'étude.;29d: Determine which agricultural zone the study area is located in.;29d: Determinare in quale zona agricola si trova l'area oggetto di studio.;
E29d.textInfo.linkText;Karte zur Bestimmung der landwirtschaftlichen Zone;Carte de détermination de la zone paysagère;Agricultural zone designation map;Mappa di designazione delle zone agricole;
E29eberg1.options.label.0;Ja;Oui;Yes;Sì;
E29eberg1.options.label.1;Nein;Non;No;No;
E29eberg1.text;"29e: [Bergzonen I und II] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 1. Juli geschnitten werden?";29e : [zones de montagne I et II] existe-t-il des surfaces herbacées (plus grandes que quatre places de parc) qui ne sont fauchées qu'après le 1er juillet?;29e: [Mountain Zones I and II] Are there grassy areas (larger than four car parking spaces) that will not be cut until after July 1?;29e: [Zone montane I e II] Ci sono aree erbose (più grandi di quattro posti auto) che vengono tagliate solo dopo il 1Â° luglio?;
E29eberg2.options.label.0;Ja;Oui;Yes;Sì;
E29eberg2.options.label.1;Nein;Non;No;No;
E29eberg2.text;"29e: [Bergzonen III und IV] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 15. Juli geschnitten werden?";29e : [Zones de montagne III et IV] existe-t-il des surfaces herbacées (plus grandes que quatre places de parc pour voitures) qui ne sont pas fauchées avant le 15 juillet?;29e: [Mountain Zones III and IV] Are there grassy areas (larger than four car parking spaces) that will not be cut until after July 15?;29e: [Zone montane III e IV] Ci sono aree erbose (più grandi di quattro posti auto) che non saranno tagliate fino a dopo il 15 luglio?;
E29etal.options.label.0;Ja;Oui;Yes;Sì;
E29etal.options.label.1;Nein;Non;No;No;
E29etal.text;"29e: [Tal- und Hügelzone] Gibt es Grasflächen (grösser als vier Autoparkplätze), die erst nach dem 15. Juni geschnitten werden?";29e : [Zone de plaine et de collines] existe-t-il des surfaces en herbe (plus grandes que quatre places de parc pour voitures) qui ne sont fauchées qu'après le 15 juin?;29e: [Valley and hill zone] Are there grassy areas (larger than four car parking spaces) that are not cut until after June 15?;29e: [Zona di valle e collina] Ci sono aree erbose (più grandi di quattro posti auto) che vengono tagliate solo dopo il 15 giugno?;
E30.text;"30: Auf welcher Fläche werden chemische Pestizide zur Schädlingsbekämpfung eingesetzt?<br>Stelle mit dem Regler ein, wie gross der Anteil dieser Fläche an der gesamten unbebauten Untersuchungsfläche ist:";30 : sur quelle surface utilise-t-on des pesticides chimiques pour lutter contre les ravageurs?<br>Réglez la proportion de cette surface par rapport à la surface totale non cultivée étudiée:;30: On which area are chemical pesticides used for pest control?<br>Use the slider to set the percentage of this area in the total uncultivated study area:;30: Su quale area vengono utilizzati pesticidi chimici per il controllo dei parassiti? <br>Utilizzare il cursore per impostare la percentuale di quest'area sul totale dell'area oggetto di studio non coltivata:;
E30.textInfo.text.1;"Chemische Pestizide sind Mittel, die oft nicht nur so genannte Schädlinge töten, sondern oft auch zahlreiche harmlose oder sogar nützliche Lebewesen. Oft bleiben Pestizide lange im Boden. Auch gelangen Pestizide mit Regenwasser in Gewässer.";"Les pesticides chimiques sont des produits qui tuent souvent non seulement les soi-disant nuisibles, mais aussi de nombreux êtres vivants inoffensifs ou même utiles. Les pesticides restent souvent longtemps dans le sol. Les pesticides se retrouvent également dans les eaux avec l'eau de pluie.";"Chemical pesticides are agents that often kill not only so-called pests, but often also numerous harmless or even beneficial creatures. Pesticides often remain in the soil for a long time. Pesticides also enter water bodies with rainwater.";"I pesticidi chimici sono sostanze che spesso uccidono non solo i cosiddetti parassiti, ma anche numerosi organismi innocui o addirittura utili. Spesso i pesticidi rimangono a lungo nel terreno. I pesticidi entrano anche nei corsi d'acqua e nelle acque sotterranee con l'acqua piovana.";
E31.text;"31: Auf welcher Fläche werden ökologische Mittel zur Schädlingsbekämpfung eingesetzt?<br>Wenn solche ökologischen Mittel zu wenig wirken, dann werden auch chemische Pestizide eingesetzt, die aber Nützlinge schonen.<br>Stelle mit dem Regler ein, wie gross der Anteil dieser Fläche an der gesamten unbebauten Untersuchungsfläche ist:";"31 : sur quelle surface utilise-t-on des moyens écologiques pour lutter contre les parasites?<br>Si de tels moyens écologiques ne sont pas assez efficaces, on utilise aussi des pesticides chimiques, qui ménagent toutefois les insectes utiles.<br>Indique à l'aide du régulateur quelle est la part de cette surface par rapport à la surface totale non cultivée étudiée:";"31: On which area are ecological means used for pest control?<br>If such ecological means have too little effect, then chemical pesticides are also used, but they spare beneficial organisms.<br>Set with the slider how large the proportion of this area is in the total uncultivated study area:";"31: Su quale area vengono utilizzati pesticidi ecologici per il controllo dei parassiti? <br>Se tali pesticidi ecologici non sono abbastanza efficaci, vengono utilizzati anche pesticidi chimici, che perà² non danneggiano gli organismi utili.<br> Utilizzare il cursore per impostare la proporzione di quest'area sul totale dell'area oggetto di studio che risulta essere incolta:";
E31.textInfo.text.1;"Ökologische Mittel bestehen aus Stoffen, die ähnlich so auch in der Natur vorkommen. Andere ökologische Mittel bekämpfen Schädlinge durch natürliche Gegenspieler. Beispielsweise gibt es Schlupfwespen, die gefrässige Raupen abtöten.";Les produits respectueux de l’environnement sont composés de substances que l'on trouve de manière similaire dans la nature. D'autres produits respectueux de l’environnement combattent les parasites par le biais d'antagonistes naturels. Il existe par exemple des guêpes parasites qui tuent les chenilles voraces.;"Ecological agents consist of substances that similarly occur in nature. Other ecological agents control pests through natural counterparts. For example, there are ichneumon wasps that kill voracious caterpillars.";"Gli agenti ecologici sono costituiti da sostanze che si trovano analogamente in natura. Altri agenti ecologici combattono i parassiti attraverso controparti naturali. Ad esempio, esistono vespe parassite che uccidono i bruchi voraci.";
E32a.options.label.0;Ja;Oui;Yes;Sì;
E32a.options.label.1;Nein;Non;No;No;
E32a.text;32a: Werden Unkräuter oder unerwünschte Pflanzen überhaupt regelmässig bekämpft?;32a : les mauvaises herbes ou les plantes indésirables sont-elles vraiment régulièrement traitées?;32a: Are weeds or unwanted plants controlled regularly at all?;32a: Le erbacce o le piante indesiderate vengono controllate regolarmente?;
E32a.textInfo.text.1;Unerwünschte Pflanzen lassen sich ganz unterschiedlich bekämpfen: Chemische Herbizide schaden oft auch erwünschten Pflanzen. Solche Herbizide bleiben manchmal lange im Boden. Auch gelangen Herbizide mit Regenwasser in Gewässer. Abflammen und Hitze erzeugende Geräte schaden oft auch Lebewesen in den oberen Bodenschichten.;Les plantes indésirables peuvent être combattues de différentes manières: les herbicides chimiques nuisent aussi souvent à toutes les autres plantes. Ces herbicides restent parfois longtemps dans le sol. Les herbicides se répandent également dans les cours d'eau avec l'eau de pluie. Le chauffage à la flamme et les appareils produisant de la chaleur nuisent aussi souvent aux organismes vivant dans les couches supérieures du sol.;Undesirable plants can be controlled in very different ways: chemical herbicides often harm desirable plants as well. Such herbicides sometimes remain in the soil for a long time. Herbicides also enter waterways with stormwater. Flaming and heat-generating equipment also often harm living things in the upper soil layers.;Le piante indesiderate possono essere controllate in molti modi diversi: gli erbicidi chimici spesso danneggiano anche le piante desiderate. Questi erbicidi a volte rimangono nel terreno per molto tempo. Gli erbicidi entrano anche nei corsi d'acqua e nelle acque sotterranee con l'acqua piovana. Le fiamme e i dispositivi che generano calore spesso danneggiano anche gli organismi viventi negli strati superiori del suolo.;
E32a.textInfo.text.2;Abflammen;Désherbage thermique;Thermal weeding;Fiamma;
E32a.textInfo.text.3;Hitze erzeugende Geräte;Appareils chauffants;Heat generating devices;Dispositivi che generano calore;
E32b.options.label.0;"Mehr als 75 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";"Plus de 75% de la lutte contre les mauvaises herbes se fait à l'aide de produits chimiques, appelés herbicides.";More than 75% of all weed control is done with chemicals called herbicides.;Oltre il 75% di tutti gli interventi di controllo delle erbe infestanti viene effettuato con sostanze chiamate erbicidi.;
E32b.options.label.1;"25 - 75 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";"25 à 75% de l'ensemble du désherbage est effectué à l'aide de produits chimiques, appelés herbicides.";25-75% of all weed control is done with chemicals called herbicides.;Il 25-75% di tutti gli interventi di controllo delle erbe infestanti viene effettuato con sostanze chiamate erbicidi.;
E32b.options.label.2;"Weniger als 25 % der gesamten Unkrautbekämpfung erfolgt mit chemischen Mitteln, so genannten Herbiziden.";"Moins de 25% du désherbage total est effectué à l'aide de produits chimiques, appelés herbicides.";Less than 25% of all weed control is done with chemicals called herbicides.;Meno del 25% di tutti gli interventi di controllo delle infestanti viene effettuato con sostanze chiamate erbicidi.;
